,0,1,2,3,4,5,6,7,8
0,GET_META_REGION_INF,,,,,,,,
1,RESULT,,,,,,,,
2,STATUS,0,,,,,,,
3,ERROR_MSG,正常に終了しました。,,,,,,,
4,DATE,Thu Jan 10 10:13:55 JST 2019,,,,,,,
5,PARAMETER,,,,,,,,
6,LANG,JP,,,,,,,
7,REGION_CODE,,,,,,,,
8,PARENT_REGION_CODE,,,,,,,,
9,TIME,,,,,,,,
10,TIME_FROM,,,,,,,,
11,TIME_TO,,,,,,,,
12,REGION_LEVEL,,,,,,,,
13,SEARCH_REGION_WORD,,,,,,,,
14,MODIFIED_FROM,00010101,,,,,,,
15,MODIFIED_TO,,,,,,,,
16,METADATA_INF,,,,,,,,
17,upAreaCd,upAreaNm,upHiragana,areaCd,areaNm,areaLevel,hiragana,fromDate,toDate
18,,,,00000,全国,2,ぜんこく,190001,999912
19,,,,004,アフガニスタン,1,あふがにすたん,190001,999912
20,,,,008,アルバニア,1,あるばにあ,190001,999912
21,00000,全国,ぜんこく,01000,北海道,3,ほっかいどう,190001,999912
22,01000,北海道,ほっかいどう,01100,札幌市,8,さっぽろし,197204,999912
23,01100,札幌市,さっぽろし,01101,中央区,11,ちゅうおうく,197204,999912
24,01100,札幌市,さっぽろし,01102,北区,11,きたく,197204,999912
25,01100,札幌市,さっぽろし,01103,東区,11,ひがしく,197204,999912
26,01100,札幌市,さっぽろし,01104,白石区,11,しろいしく,197204,999912
27,01100,札幌市,さっぽろし,01105,豊平区,11,とよひらく,197204,999912
28,01100,札幌市,さっぽろし,01106,南区,11,みなみく,197204,999912
29,01100,札幌市,さっぽろし,01107,西区,11,にしく,197204,999912
30,01100,札幌市,さっぽろし,01108,厚別区,11,あつべつく,198911,999912
31,01100,札幌市,さっぽろし,01109,手稲区,11,ていねく,198911,999912
32,01100,札幌市,さっぽろし,01110,清田区,11,きよたく,199711,999912
33,,,,012,アルジェリア,1,あるじぇりあ,190001,999912
34,01000,北海道,ほっかいどう,01201,(旧)札幌市,9,さっぽろし,197004,197204
35,01000,北海道,ほっかいどう,01202,函館市,9,はこだてし,197004,999912
36,01000,北海道,ほっかいどう,01203,小樽市,9,おたるし,197004,999912
37,01000,北海道,ほっかいどう,01204,旭川市,9,あさひかわし,197004,999912
38,01000,北海道,ほっかいどう,01205,室蘭市,9,むろらんし,197004,999912
39,01000,北海道,ほっかいどう,01206,釧路市,9,くしろし,197004,999912
40,01000,北海道,ほっかいどう,01207,帯広市,9,おびひろし,197004,999912
