,0,1,2,3,4,5,6,7,8,9,10,11
0,GET_META_INDICATOR_INF,,,,,,,,,,,
1,RESULT,,,,,,,,,,,
2,STATUS,0,,,,,,,,,,
3,ERROR_MSG,正常に終了しました。,,,,,,,,,,
4,DATE,Thu Jan 10 10:13:53 JST 2019,,,,,,,,,,
5,PARAMETER,,,,,,,,,,,
6,LANG,JP,,,,,,,,,,
7,INDICATOR_CODE,,,,,,,,,,,
8,CATEGORY,,,,,,,,,,,
9,TIME,,,,,,,,,,,
10,TIME_FROM,,,,,,,,,,,
11,TIME_TO,,,,,,,,,,,
12,CYCLE,,,,,,,,,,,
13,REGIONAL_RANK,,,,,,,,,,,
14,IS_SEASONAL_ADJUSTMENT,,,,,,,,,,,
15,STAT_CODE,,,,,,,,,,,
16,STAT_NAME,,,,,,,,,,,
17,SEARCH_INDICATOR_WORD,,,,,,,,,,,
18,MODIFIED_FRROM,00010101,,,,,,,,,,
19,MODIFIED_TO,,,,,,,,,,,
20,METADATA_INF,,,,,,,,,,,
21,indicatorCd,indicatorNm,shortNm,cycle,regionalRank,isSeasonal,unitNm,fromDate,toDate,Term_detail,annotation,statNm
22,0101010000000010010,総面積（北方地域及び竹島を除く）,,3,2,1,ha,1975CY00,9999CY00,総面積（北方地域及び竹島を除く）=北方地域及び竹島を除く日本の面積。,,社会･人口統計体系
23,0101010000000010010,総面積（北方地域及び竹島を除く）,,3,3,1,ha,1975CY00,9999CY00,総面積（北方地域及び竹島を除く）=北方地域及び竹島を除く日本の面積。,,社会･人口統計体系
24,0101010000000010010,総面積（北方地域及び竹島を除く）,,3,4,1,ha,1981CY00,9999CY00,総面積（北方地域及び竹島を除く）=北方地域及び竹島を除く日本の面積。,,社会･人口統計体系
25,0101010000000010020,総面積,,3,1,1,㎢,2016CY00,9999CY00,総面積（北方地域及び竹島を含む）=北方地域及び竹島を含む日本の面積。;総面積=内水面を含む全面積。極地及び居住不可能な島を除く。,,Demographic Yearbook（人口統計年鑑）
26,0101010000000010020,総面積（北方地域及び竹島を含む）,,3,2,1,ha,1975CY00,9999CY00,総面積（北方地域及び竹島を含む）=北方地域及び竹島を含む日本の面積。;総面積=内水面を含む全面積。極地及び居住不可能な島を除く。,,社会･人口統計体系
27,0101010000000010020,総面積（北方地域及び竹島を含む）,,3,3,1,ha,1975CY00,9999CY00,総面積（北方地域及び竹島を含む）=北方地域及び竹島を含む日本の面積。;総面積=内水面を含む全面積。極地及び居住不可能な島を除く。,,社会･人口統計体系
28,0101010000000010020,総面積（北方地域及び竹島を含む）,,3,4,1,ha,2000CY00,9999CY00,総面積（北方地域及び竹島を含む）=北方地域及び竹島を含む日本の面積。;総面積=内水面を含む全面積。極地及び居住不可能な島を除く。,,社会･人口統計体系
29,0101010100000010010,可住地面積,,3,2,1,ha,1975CY00,9999CY00,可住地面積=総面積から林野面積と主要湖沼面積を差し引いて算出したもの。,,社会･人口統計体系
30,0101010100000010010,可住地面積,,3,3,1,ha,1975CY00,9999CY00,可住地面積=総面積から林野面積と主要湖沼面積を差し引いて算出したもの。,,社会･人口統計体系
31,0101010100000010010,可住地面積,,3,4,1,ha,1981CY00,9999CY00,可住地面積=総面積から林野面積と主要湖沼面積を差し引いて算出したもの。,,社会･人口統計体系
32,0101010200000010010,主要湖沼面積,,3,2,1,ha,1990CY00,9999CY00,,,社会･人口統計体系
33,0101010200000010010,主要湖沼面積,,3,3,1,ha,1990CY00,9999CY00,,,社会･人口統計体系
34,0101010200000010010,主要湖沼面積,,3,4,1,ha,1990CY00,9999CY00,,,社会･人口統計体系
