file_nm,element_id,amount,unit_ref,decimals,contextref
jpcrp020200-srs-001_E05663-000_2018-06-30_01_2018-09-19.xbrl,jpdei_cor:numberofsubmissiondei,1,,0,FilingDateInstant
jpcrp020200-srs-001_E05663-000_2018-06-30_01_2018-09-19.xbrl,jpcrp_cor:documenttitlecoverpage,有価証券届出書 ,,,FilingDateInstant
jpcrp020200-srs-001_E05663-000_2018-06-30_01_2018-09-19.xbrl,jpcrp_cor:placeoffilingcoverpage,関東財務局長 ,,,FilingDateInstant
jpcrp020200-srs-001_E05663-000_2018-06-30_01_2018-09-19.xbrl,jpcrp_cor:filingdatecoverpage,2018-09-19,,,FilingDateInstant
jpcrp020200-srs-001_E05663-000_2018-06-30_01_2018-09-19.xbrl,jpcrp_cor:companynamecoverpage,株式会社アバント,,,FilingDateInstant
jpcrp020200-srs-001_E05663-000_2018-06-30_01_2018-09-19.xbrl,jpcrp_cor:companynameinenglishcoverpage,AVANT CORPORATION,,,FilingDateInstant
jpcrp020200-srs-001_E05663-000_2018-06-30_01_2018-09-19.xbrl,jpcrp_cor:titleandnameofrepresentativecoverpage,代表取締役社長　森川  徹治,,,FilingDateInstant
jpcrp020200-srs-001_E05663-000_2018-06-30_01_2018-09-19.xbrl,jpcrp_cor:addressofregisteredheadquartercoverpage,東京都港区港南二丁目15番２号,,,FilingDateInstant
jpcrp020200-srs-001_E05663-000_2018-06-30_01_2018-09-19.xbrl,jpcrp_cor:telephonenumberaddressofregisteredheadquartercoverpage,(03)6864－0100(代表),,,FilingDateInstant
jpcrp020200-srs-001_E05663-000_2018-06-30_01_2018-09-19.xbrl,jpcrp_cor:nameofcontactpersonaddressofregisteredheadquartercoverpage,取締役財務担当　春日　尚義,,,FilingDateInstant
jpcrp020200-srs-001_E05663-000_2018-06-30_01_2018-09-19.xbrl,jpcrp_cor:nearestplaceofcontactcoverpage,東京都港区港南二丁目15番２号,,,FilingDateInstant
jpcrp020200-srs-001_E05663-000_2018-06-30_01_2018-09-19.xbrl,jpcrp_cor:telephonenumbernearestplaceofcontactcoverpage,(03)6864－0100(代表),,,FilingDateInstant
jpcrp020200-srs-001_E05663-000_2018-06-30_01_2018-09-19.xbrl,jpcrp_cor:nameofcontactpersonnearestplaceofcontactcoverpage,取締役財務担当　春日　尚義,,,FilingDateInstant
jpcrp020200-srs-001_E05663-000_2018-06-30_01_2018-09-19.xbrl,jpcrp_cor:typesofsecuritiestoregisterforofferingordistributioncoverpage,株式,,,FilingDateInstant
jpcrp020200-srs-001_E05663-000_2018-06-30_01_2018-09-19.xbrl,jpcrp_cor:mattersspecifictostabilizingoperationcoverpagena,該当事項はありません。,,,FilingDateInstant
jpcrp020200-srs-001_E05663-000_2018-06-30_01_2018-09-19.xbrl,jpdei_cor:edinetcodedei,E05663,,,FilingDateInstant
jpcrp020200-srs-001_E05663-000_2018-06-30_01_2018-09-19.xbrl,jpdei_cor:securitycodedei,38360,,,FilingDateInstant
jpcrp020200-srs-001_E05663-000_2018-06-30_01_2018-09-19.xbrl,jpdei_cor:filernameinjapanesedei,株式会社アバント,,,FilingDateInstant
jpcrp020200-srs-001_E05663-000_2018-06-30_01_2018-09-19.xbrl,jpdei_cor:filernameinenglishdei,AVANT CORPORATION,,,FilingDateInstant
jpcrp020200-srs-001_E05663-000_2018-06-30_01_2018-09-19.xbrl,jpdei_cor:cabinetofficeordinancedei,企業内容等の開示に関する内閣府令,,,FilingDateInstant
jpcrp020200-srs-001_E05663-000_2018-06-30_01_2018-09-19.xbrl,jpdei_cor:documenttypedei,第二号の二様式,,,FilingDateInstant
jpcrp020200-srs-001_E05663-000_2018-06-30_01_2018-09-19.xbrl,jpdei_cor:amendmentflagdei,false,,,FilingDateInstant
jpcrp020200-srs-001_E05663-000_2018-06-30_01_2018-09-19.xbrl,jpdei_cor:reportamendmentflagdei,false,,,FilingDateInstant
